question,branch_id,expected_divisi,finetuned_divisi,confidence,fallback_used,latency_supervisor_sec,predicted_divisi,correct,latency_total_sec,agent,answer,n_sop_docs_preview,citation_present,n_sop_docs_full,avg_retrieval_distance,grounding_precision,coverage_recall,n_answer_facts,n_context_facts,n_overlap_facts,llm_judge_verdict,hallucination_method,hallucinated,error,run
Berapa minimal staf shift malam saat weekend?,,hr,hr,0.679440244568779,False,0.00189208984375,hr,1,1.665785312652588,HR,"Minimal staf shift malam saat weekend adalah 2 Chef dan 3 Waiter.

Sumber: SOP_hr.txt",2,True,2,0.6230376064777374,1.0,0.08333333333333333,2.0,24.0,2.0,,fact_grounding,0.0,,2
Apa aturan kalau jadwal shift bentrok?,,hr,hr,0.32012410114665035,True,0.0014071464538574219,hr,1,3.8576862812042236,HR,"Aturan kalau jadwal shift bentrok adalah bahwa satu karyawan tidak boleh dijadwalkan pada dua shift yang tumpang tindih waktunya dalam hari yang sama, kecuali dalam kondisi darurat kekurangan staf mendadak dan harus mendapat persetujuan dari Manajer Cabang.

Sumber: SOP_hr.txt",2,True,2,0.7388952076435089,,0.0,0.0,24.0,0.0,not_grounded,llm_judge,1.0,,2
Apakah ada kekurangan staf shift malam akhir pekan?,BR01,hr,hr,0.5122864104620968,True,0.0012776851654052734,hr,1,5.527276039123535,HR,"Ya, terdapat beberapa kekurangan staf shift malam akhir pekan di Savoria Malioboro. Berdasarkan data aktual yang tersedia, ada beberapa hari akhir pekan yang memiliki staf di bawah komposisi minimum (kurang dari 2 Chef atau 3 Waiter). Contohnya adalah:

- 2026-06-06: hanya 1 staf
- 2026-06-28: hanya 1 staf

Dalam hal ini, Divisi HR wajib melakukan penjadwalan ulang atau menambah shift tambahan minimal 3 hari sebelum tanggal tersebut.

Sumber informasi: SOP_hr.txt",2,True,2,0.6577638685703278,1.0,0.3888888888888889,7.0,18.0,7.0,,fact_grounding,0.0,,2
Bagaimana SOP pengajuan cuti karyawan?,,hr,hr,0.26476422494703994,True,0.0014004707336425781,hr,1,2.4212563037872314,HR,"SOP terkait hal ini belum tersedia di knowledge base.

Sumber informasimu: sop_hr.txt.",2,True,2,0.7578901052474976,,0.0,0.0,25.0,0.0,not_grounded,llm_judge,1.0,,2
Berapa batas toleransi selisih rekonsiliasi kas?,,finance,finance,0.33989503459715,True,0.001766204833984375,finance,1,3.1369333267211914,Finance,"Batas toleransi selisih rekonsiliasi kas adalah Rp 10.000. Selisih di atas Rp 10.000 memerlukan pengecekan ulang bukti transaksi kasir.

Sumber: sop_finance.txt",2,True,2,1.033590018749237,1.0,0.3333333333333333,1.0,3.0,1.0,not_grounded,llm_judge,1.0,,2
Apa penyebab umum selisih omzet harian?,,finance,finance,0.35723393781357027,True,0.002179384231567383,finance,1,4.4160075187683105,Finance,"Menurut SOP Divisi Keuangan - Savoria Resto Group, penyebab umum selisih omzet harian adalah karena perbedaan antara total penjualan yang diakui oleh sistem kasir dan total penjualan yang sebenarnya terjadi. Hal ini dapat disebabkan oleh beberapa faktor seperti kesalahan penginputan data, perubahan dalam strategi pemasaran, atau perubahan dalam kondisi pasar.

Sumber informasi: SOP_divisi_keuangan.txt",2,True,2,0.8777139782905579,,0.0,0.0,2.0,0.0,not_grounded,llm_judge,1.0,,2
Adakah selisih keuangan yang perlu diwaspadai bulan ini?,BR01,finance,finance,0.5538339516085066,False,0.0022118091583251953,finance,1,2.0919950008392334,Finance,"Ya, ada selisih keuangan yang perlu diwaspadai bulan ini. Selisih rekonsiliasi sepanjang bulan tidak melebihi Rp 50.000.

Sumber: sop_finance.txt",2,True,2,0.7768004834651947,1.0,0.5,1.0,2.0,1.0,not_grounded,llm_judge,1.0,,2
Bagaimana prosedur rekonsiliasi kas harian?,,finance,finance,0.27626263665474343,True,0.0011658668518066406,finance,1,3.1710638999938965,Finance,"Berdasarkan konteks SOP dan data aktual yang tersedia, saya tidak menemukan informasi tentang prosedur rekonsiliasi kas harian dalam SOP Divisi Keuangan - Savoria Resto Group.

SOP terkait hal ini belum tersedia di knowledge base.",2,True,2,0.9091423153877258,,0.0,0.0,3.0,0.0,not_grounded,llm_judge,1.0,,2
Bagaimana cuaca hari ini di Yogyakarta?,,general,general,0.39308245494331645,True,0.0014772415161132812,general,1,0.8817589282989502,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,2
Siapa nama CEO Savoria?,,general,general,0.33619140579467277,True,0.0014319419860839844,general,1,0.9012706279754639,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,2
Apa resep rahasia saus andalan restoran?,,general,general,0.43770122016956997,True,0.0018486976623535156,general,1,0.8895313739776611,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,2
