question,branch_id,expected_divisi,finetuned_divisi,confidence,fallback_used,latency_supervisor_sec,predicted_divisi,correct,latency_total_sec,agent,answer,n_sop_docs_preview,citation_present,n_sop_docs_full,avg_retrieval_distance,grounding_precision,coverage_recall,n_answer_facts,n_context_facts,n_overlap_facts,llm_judge_verdict,hallucination_method,hallucinated,error,run
Berapa minimal staf shift malam saat weekend?,,hr,hr,0.679440244568779,False,0.003864288330078125,hr,1,1.5911078453063965,HR,"Minimal staf shift malam saat weekend adalah 2 Chef dan 3 Waiter.

Sumber: SOP_hr.txt",2,True,2,0.6230376064777374,1.0,0.08333333333333333,2.0,24.0,2.0,,fact_grounding,0.0,,3
Apa aturan kalau jadwal shift bentrok?,,hr,hr,0.32012410114665035,True,0.003004312515258789,hr,1,3.850116729736328,HR,"Aturan kalau jadwal shift bentrok adalah, satu karyawan tidak boleh dijadwalkan pada dua shift yang tumpang tindih waktunya dalam hari yang sama, kecuali dalam kondisi darurat kekurangan staf mendadak dan harus mendapat persetujuan dari Manajer Cabang.

Sumber: SOP_hr.txt",2,True,2,0.7388952076435089,,0.0,0.0,24.0,0.0,not_grounded,llm_judge,1.0,,3
Apakah ada kekurangan staf shift malam akhir pekan?,BR01,hr,hr,0.5122864104620968,True,0.002460002899169922,hr,1,4.292058229446411,HR,"Ya, terdapat beberapa kekurangan staf shift malam akhir pekan di Savoria Malioboro. Berdasarkan data aktual yang tersedia, ada beberapa hari akhir pekan yang memiliki staf di bawah komposisi minimal, yaitu:

- 2026-06-06: hanya 1 staf (minimal 5)
- 2026-06-28: hanya 1 staf (minimal 5)

Sumber informasi: SOP_hr.txt",2,True,2,0.6577638685703278,1.0,0.3333333333333333,6.0,18.0,6.0,,fact_grounding,0.0,,3
Bagaimana SOP pengajuan cuti karyawan?,,hr,hr,0.26476422494703994,True,0.0021467208862304688,hr,1,2.53662109375,HR,"SOP terkait hal ini belum tersedia di knowledge base.

Sumber informasimu: sop_hr.txt.",2,True,2,0.7578901052474976,,0.0,0.0,25.0,0.0,not_grounded,llm_judge,1.0,,3
Berapa batas toleransi selisih rekonsiliasi kas?,,finance,finance,0.33989503459715,True,0.0012917518615722656,finance,1,3.2946767807006836,Finance,"Batas toleransi selisih rekonsiliasi kas adalah Rp 10.000. Selisih di atas Rp 50.000 wajib dieskalasi ke Manajer Keuangan Pusat untuk investigasi menyeluruh.

Sumber: sop_finance.txt",2,True,2,1.033590018749237,1.0,0.6666666666666666,2.0,3.0,2.0,,fact_grounding,0.0,,3
Apa penyebab umum selisih omzet harian?,,finance,finance,0.35723393781357027,True,0.003528118133544922,finance,1,3.2777130603790283,Finance,"Menurut SOP Divisi Keuangan - Savoria Resto Group, penyebab umum selisih omzet harian adalah kesalahan dalam pencatatan omzet di kasir atau kesalahan dalam penginputan data ke sistem pusat.

Sumber informasi: sop_finance.txt",2,True,2,0.8777139782905579,,0.0,0.0,2.0,0.0,not_grounded,llm_judge,1.0,,3
Adakah selisih keuangan yang perlu diwaspadai bulan ini?,BR01,finance,finance,0.5538339516085066,False,0.0016336441040039062,finance,1,2.419595241546631,Finance,"Ya, ada selisih keuangan yang perlu diwaspadai bulan ini. Selisih rekonsiliasi sepanjang bulan mencapai Rp 0, yang berarti tidak ada selisih di atas Rp 50.000 pada periode data.

Sumber: sop_finance.txt",2,True,2,0.7768004834651947,0.5,0.5,2.0,2.0,1.0,,fact_grounding,1.0,,3
Bagaimana prosedur rekonsiliasi kas harian?,,finance,finance,0.27626263665474343,True,0.0020532608032226562,finance,1,5.1334757804870605,Finance,"Prosedur rekonsiliasi kas harian adalah sebagai berikut:

1. Setiap cabang harus memeriksa total penjualan harian dari sistem kasir dan melaporkannya ke sistem pusat.
2. Pada hari yang sama, setiap cabang harus melakukan rekonsiliasi kas harian dengan membandingkan total penjualan harian dengan total kas yang ada di akun kas.
3. Jika terdapat selisih antara total penjualan harian dan total kas, maka cabang harus melakukan audit untuk menemukan sumber kebocoran keuangan.

Sumber: SOP Finance - Savoria Resto Group (sop_finance.txt)",2,True,2,0.9091423153877258,,0.0,0.0,3.0,0.0,not_grounded,llm_judge,1.0,,3
Bagaimana cuaca hari ini di Yogyakarta?,,general,general,0.39308245494331645,True,0.0015132427215576172,general,1,0.8664145469665527,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,3
Siapa nama CEO Savoria?,,general,general,0.33619140579467277,True,0.0017669200897216797,general,1,0.8160479068756104,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,3
Apa resep rahasia saus andalan restoran?,,general,general,0.43770122016956997,True,0.002193450927734375,general,1,0.8226687908172607,General,"Maaf, pertanyaan ini tidak termasuk ke divisi Inventory, Order, HR, atau Finance. Coba ajukan pertanyaan yang lebih spesifik terkait salah satu divisi tersebut.",0,False,0,,,,,,,,no_context,,,3
